column_cleaned,column_values,column_unit,column_min,column_max
Power consumption (typical),,N/A,nan,nan
Number of battery cells (tablet),,N/A,nan,nan
"Battery capacity (tablet, Watt-hours)",,N/A,nan,nan
Rear camera HD type,,N/A,nan,nan
Orientation sensor,,N/A,nan,nan
Master (outer) case gross weight,"'1901.0', '6092.0', '2000.0', '1900.0', '6260.0'",g,1900.0,6260.0
Master (outer) case length,"'357.89', '357.9', '323.09', '323.1'",mm,323.09,357.9
Products per master (outer) case,"'1.0', '3.0'",pc(s),1.0,3.0
Master (outer) case height,"'56.9', '173.0', '172.97', '67.6', '202.9'",mm,56.9,202.9
Master (outer) case width,"'265.94', '265.9', '262.89', '262.9'",mm,262.89,265.94
BD-RE XL read speed,,N/A,nan,nan
BD-R XL read speed,,N/A,nan,nan
Built-in optical drive,,N/A,nan,nan
NVIDIA 3D Vision 2,,N/A,nan,nan
Mini HDMI ports quantity,,N/A,nan,nan
Memory channels,"'Octa-channel', 'Dual-channel'",N/A,N/A,N/A
Video adapter features,,N/A,nan,nan
Built-in touchpad,,N/A,nan,nan
Foldable display,'False',N/A,N/A,N/A
Number of touchpad buttons,'2.0',N/A,2.0,2.0
Audio system direct 3D sound,,N/A,nan,nan
Networking type,,N/A,nan,nan
Keyboard included on selected markets only,,N/A,nan,nan
Battery recharge time (on),,N/A,nan,nan
Battery recharge time (off),,N/A,nan,nan
Processor system type,,N/A,nan,nan
Supported graphics resolutions,,N/A,nan,nan
BIOS password,,N/A,nan,nan
High Dynamic Range (HDR) supported,,N/A,nan,nan
External display,,N/A,nan,nan
HP rear camera,,N/A,nan,nan
Bamboo molded pulp content per package,,N/A,nan,nan
User guide,,N/A,nan,nan
WWAN module,,N/A,nan,nan
SIM card type,,N/A,nan,nan
DVD drive compatibility,,N/A,nan,nan
Doesn't contain,,N/A,nan,nan
HP Documentation,,N/A,nan,nan
Wide-angle lens front camera,,N/A,nan,nan
Memory bus,,N/A,nan,nan
Battery type,,N/A,nan,nan
Number of Thunderbolt 3 ports with PowerShare support,,N/A,nan,nan
Size (imperial),,N/A,nan,nan
Network connection type,,N/A,nan,nan
Touch Bar,'False',N/A,N/A,N/A
Built-in stylus pen storage,'False',N/A,N/A,N/A
NVIDIA Optimus technology,,N/A,nan,nan
NFC key,,N/A,nan,nan
Body SAR (EU),'0.33',W/kg,0.33,0.33
Battery life (tablet mode),,N/A,nan,nan
Keyboard included,,N/A,nan,nan
Second display panel type,,N/A,nan,nan
Second display diagonal,,N/A,nan,nan
Second display resolution,,N/A,nan,nan
Display technology,,N/A,nan,nan
USB 2.0 Type-C ports quantity,,N/A,nan,nan
Plug and Play,,N/A,nan,nan
Dolby technologies,,N/A,nan,nan
Second display touch technology,,N/A,nan,nan
Battery life with optional 2nd battery,,N/A,nan,nan
Number of hot keys,,N/A,nan,nan
GSM module,,N/A,nan,nan
Master (outer) cases per pallet,,N/A,nan,nan
Master (outer) cases per pallet layer,,N/A,nan,nan
Audio system manufacturer,,N/A,nan,nan
Wired communication manufacturer,,N/A,nan,nan
Wired communication type,,N/A,nan,nan
Wired communication features,,N/A,nan,nan
Wired communication connector,,N/A,nan,nan
Wired communication chipset,,N/A,nan,nan
Wireless compliance,,N/A,nan,nan
Wireless communication manufacturer,,N/A,nan,nan
DVD drive type,,N/A,nan,nan
DVD interface type,,N/A,nan,nan
External video adapter resolution,,N/A,nan,nan
Non-operating shock with/without CD-ROM drive installed,,N/A,nan,nan
Non-operating vibration with/without CD-ROM drive installed,,N/A,nan,nan
Operating shock with/without CD-ROM drive installed,,N/A,nan,nan
Operating vibration with/without CD-ROM drive installed,,N/A,nan,nan
Volume dial,,N/A,nan,nan
Casework material,,N/A,nan,nan
Security features,,N/A,nan,nan
Motherboard manufacturer,,N/A,nan,nan
Wireless communication data transfer rate,,N/A,nan,nan
Special features,,N/A,nan,nan
Expansion type,,N/A,nan,nan
2D graphics accelerator,,N/A,nan,nan
Storage drive desktop or notebook?,,N/A,nan,nan
Keyboard euro key,,N/A,nan,nan
Package weight,,N/A,nan,nan
